id,month,year,tkn_mg_l,tot_precip
Ausable_R,April,1979,0.77166665,108.65
Ausable_R,April,1980,2.0642858,96.4
Ausable_R,April,1981,0.74333334,72.1
Ausable_R,April,1982,1.18,50.85
Ausable_R,April,1983,0.88125,95.5
Ausable_R,April,1984,0.605,77.1
Ausable_R,April,1985,0.87875,59.5
Ausable_R,April,1986,1.2875,56.25
Ausable_R,April,1987,0.94625,55.05
Ausable_R,April,1988,1.0957143,74.075
Ausable_R,April,1989,0.7368519,41.2
Ausable_R,April,1990,0.519,69.6
Ausable_R,April,1991,1.45375,112.275
Ausable_R,April,1992,1.43125,96.4
Ausable_R,April,1993,0.645,101.05
Ausable_R,April,1994,0.75,86.825
Ausable_R,April,1995,0.66318184,78.575
Ausable_R,April,1996,0.98,102.25
Ausable_R,April,2001,0.72,39.175
Ausable_R,April,2003,0.5516667,65.8
Ausable_R,April,2004,1.03,53.5
Ausable_R,April,2005,0.6666667,103.35
Ausable_R,April,2007,0.57166666,78.825
Ausable_R,April,2008,2.0583334,55.3
Ausable_R,April,2009,0.59,121.45
Ausable_R,April,2010,0.47166666,52.65
Ausable_R,April,2011,0.53,146.225
Ausable_R,August,1979,1.01,99.85
Ausable_R,August,1980,1.616,71.675
Ausable_R,August,1981,0.9225,131.75
Ausable_R,August,1982,0.83375,75.775
Ausable_R,August,1983,1.09125,52.2
Ausable_R,August,1984,0.766,122
Ausable_R,August,1985,0.66125,120
Ausable_R,August,1986,0.86625,92.4
Ausable_R,August,1987,1.06375,89.625
Ausable_R,August,1989,0.99,40.05
Ausable_R,August,1990,1.12,101.25
Ausable_R,August,1991,0.82,68.725
Ausable_R,August,1992,0.75125,105.8
Ausable_R,August,1993,0.74125,46.175
Ausable_R,August,1994,0.80285716,99.525
Ausable_R,August,1995,1.02,96.625
Ausable_R,August,1996,0.5,44.9
Ausable_R,August,2000,0.73333335,86.425
Ausable_R,August,2001,1.73,56.875
Ausable_R,August,2002,0.90833336,31.875
Ausable_R,August,2003,0.7216667,55.775
Ausable_R,August,2004,0.565,90.25
Ausable_R,August,2005,0.8066667,84.6
Ausable_R,August,2006,0.63,60.3
Ausable_R,August,2007,0.5566667,81.175
Ausable_R,August,2008,0.65,55.65
Ausable_R,August,2009,0.675,89.725
Ausable_R,August,2010,0.64,79.65
Ausable_R,August,2011,0.62666667,71.575
Ausable_R,July,1979,0.83,62.775
Ausable_R,July,1980,0.9657143,139.65
Ausable_R,July,1981,1.1125,77.925
Ausable_R,July,1982,0.97625,52.25
Ausable_R,July,1983,0.76857144,81.025
Ausable_R,July,1984,0.84,58.25
Ausable_R,July,1985,0.88875,81.125
Ausable_R,July,1986,0.86125,103.625
Ausable_R,July,1987,1.2675,90.475
Ausable_R,July,1988,1.165,75.65
Ausable_R,July,1989,1.1125,58.525
Ausable_R,July,1990,1.32,85.825
Ausable_R,July,1991,1.2975,71.3
Ausable_R,July,1992,1.39875,143.4
Ausable_R,July,1993,1.03,64.175
Ausable_R,July,1994,0.8685714,90.075
Ausable_R,July,1995,0.8,100.875
Ausable_R,July,1996,0.7,95.9
Ausable_R,July,1997,0.64,64.775
Ausable_R,July,2000,1.2133334,57.075
Ausable_R,July,2001,0.83,35.95
Ausable_R,July,2002,0.8383333,53.3
Ausable_R,July,2003,0.63666666,75.7
Ausable_R,July,2004,0.62,83.375
Ausable_R,July,2005,1.0016667,74.9
Ausable_R,July,2006,0.81,109.725
Ausable_R,July,2007,0.6116667,92.825
Ausable_R,July,2008,2.65,114.375
Ausable_R,July,2009,0.55583334,112.4
Ausable_R,July,2010,0.6383333,83.4
Ausable_R,July,2011,0.64,82.45
Ausable_R,June,1979,0.9357143,86.4
Ausable_R,June,1980,0.75285715,99.15
Ausable_R,June,1981,1.0475,118.1
Ausable_R,June,1982,0.8125,98.4
Ausable_R,June,1983,0.85142857,61.1
Ausable_R,June,1984,1.18375,51.8
Ausable_R,June,1985,0.8225,59.275
Ausable_R,June,1986,0.7342857,97.375
Ausable_R,June,1987,1.2175,100.45
Ausable_R,June,1988,1.31,53.225
Ausable_R,June,1989,0.96125,88.6
Ausable_R,June,1990,0.925,76.25
Ausable_R,June,1991,1.52625,20.975
Ausable_R,June,1992,0.8775,59.1
Ausable_R,June,1993,0.84875,110.25
Ausable_R,June,1994,0.74875,102.95
