station,nutrient,datetime,value
ON02GC1700,TP,2011-11-29 17:00:00,0.524
ON02GC1700,TP,2011-12-13 17:00:00,0.126
ON02GC1700,TP,2012-01-10 17:00:00,0.089
ON02GC1700,TP,2012-01-17 17:00:00,0.084
ON02GC1700,TP,2012-01-23 17:00:00,0.074
ON02GC1700,TP,2012-01-31 17:00:00,0.081
ON02GC1700,TP,2012-02-06 17:00:00,0.072
ON02GC1700,TP,2012-02-13 17:00:00,0.045
ON02GC1700,TP,2012-02-21 17:00:00,0.045
ON02GC1700,TP,2012-02-28 17:00:00,0.06
ON02GC1700,TP,2012-03-05 17:00:00,0.179
ON02GC1700,TP,2012-03-12 16:00:00,0.056
ON02GC1700,TP,2012-03-20 16:00:00,0.058
ON02GC1700,TP,2012-03-26 16:00:00,0.056
ON02GC1700,TP,2012-04-02 16:00:00,0.03
ON02GC1700,TP,2012-04-10 16:00:00,0.036
ON02GE1000,TP,2012-01-17 17:00:00,0.105
ON02GE1000,TP,2012-01-23 17:00:00,0.088
ON02GE1000,TP,2012-01-31 17:00:00,0.062
ON02GE1000,TP,2012-02-06 17:00:00,0.063
ON02GE1000,TP,2012-02-13 17:00:00,0.053
ON02GE1000,TP,2012-02-21 17:00:00,0.054
ON02GE1000,TP,2012-02-28 17:00:00,0.061
ON02GE1000,TP,2012-03-05 17:00:00,0.092
ON02GE1000,TP,2012-03-12 16:00:00,0.056
ON02GE1000,TP,2012-03-20 16:00:00,0.053
ON02GE1000,TP,2012-03-26 16:00:00,0.056
ON02GE1000,TP,2012-04-02 16:00:00,0.029
ON02GE1000,TP,2012-04-10 16:00:00,0.036
ON02GE1000,TP,2012-04-16 16:00:00,0.039
ON02GE1000,TP,2012-06-11 16:00:00,0.12
ON02GE1000,TP,2012-06-18 16:00:00,0.082
ON02GE1000,TP,2012-06-25 16:00:00,0.136
ON02GE1000,TP,2012-07-03 16:00:00,0.1
ON02GE1000,TP,2012-07-23 16:00:00,0.057
ON02GE1000,TP,2012-07-30 16:00:00,0.158
ON02GE1000,TP,2012-08-07 16:00:00,0.087
ON02GE1000,TP,2012-08-27 16:00:00,0.069
ON02GE1000,TP,2012-09-04 16:00:00,0.091
ON02GE1000,TP,2012-09-10 15:20:00,0.203
ON02GE1000,TP,2012-09-18 16:56:00,0.113
ON02GE1000,TP,2012-09-24 15:23:00,0.116
ON02GE1000,TP,2012-10-01 14:35:00,0.1
ON02GE1000,TP,2012-10-09 14:30:00,0.076
ON02GE1000,TP,2012-10-16 14:45:00,0.082
ON02GE1000,TP,2012-10-23 16:15:00,0.093
ON02GE1000,TP,2012-11-05 16:15:00,0.118
ON02GE1000,TP,2012-11-19 17:40:00,0.053
ON02GC1700,TDP,2011-11-29 17:00:00,0.136
ON02GC1700,TDP,2011-12-13 17:00:00,0.069
ON02GC1700,TDP,2012-01-10 17:00:00,0.043
ON02GC1700,TDP,2012-01-17 17:00:00,0.035
ON02GC1700,TDP,2012-01-23 17:00:00,0.038
ON02GC1700,TDP,2012-01-31 17:00:00,0.037
ON02GC1700,TDP,2012-02-06 17:00:00,0.041
ON02GC1700,TDP,2012-02-13 17:00:00,0.024
ON02GC1700,TDP,2012-02-21 17:00:00,0.019
ON02GC1700,TDP,2012-02-28 17:00:00,0.018
ON02GC1700,TDP,2012-03-05 17:00:00,0.017
ON02GC1700,TDP,2012-03-12 16:00:00,0.026
ON02GC1700,TDP,2012-03-20 16:00:00,0.022
ON02GC1700,TDP,2012-03-26 16:00:00,0.008
ON02GC1700,TDP,2012-04-02 16:00:00,0.008
ON02GC1700,TDP,2012-04-10 16:00:00,0.007
ON02GE1000,TDP,2012-01-17 17:00:00,0.036
ON02GE1000,TDP,2012-01-23 17:00:00,0.038
ON02GE1000,TDP,2012-01-31 17:00:00,0.032
ON02GE1000,TDP,2012-02-06 17:00:00,0.038
ON02GE1000,TDP,2012-02-13 17:00:00,0.024
ON02GE1000,TDP,2012-02-21 17:00:00,0.019
ON02GE1000,TDP,2012-02-28 17:00:00,0.016
ON02GE1000,TDP,2012-03-05 17:00:00,0.021
ON02GE1000,TDP,2012-03-12 16:00:00,0.022
ON02GE1000,TDP,2012-03-20 16:00:00,0.022
ON02GE1000,TDP,2012-03-26 16:00:00,0.008
ON02GE1000,TDP,2012-04-02 16:00:00,0.008
ON02GE1000,TDP,2012-04-10 16:00:00,0.008
ON02GE1000,TDP,2012-04-16 16:00:00,0.008
ON02GE1000,TDP,2012-06-11 16:00:00,0.042
ON02GE1000,TDP,2012-06-18 16:00:00,0.03
ON02GE1000,TDP,2012-06-25 16:00:00,0.043
ON02GE1000,TDP,2012-07-03 16:00:00,0.044
ON02GE1000,TDP,2012-07-23 16:00:00,0.009
ON02GE1000,TDP,2012-07-30 16:00:00,0.01
ON02GE1000,TDP,2012-08-07 16:00:00,0.01
ON02GE1000,TDP,2012-08-27 16:00:00,0.01
ON02GE1000,TDP,2012-09-04 16:00:00,0.024
ON02GE1000,TDP,2012-09-10 15:20:00,0.045
ON02GE1000,TDP,2012-09-18 16:56:00,0.038
ON02GE1000,TDP,2012-09-24 15:23:00,0.044
ON02GE1000,TDP,2012-10-01 14:35:00,0.041
ON02GE1000,TDP,2012-10-09 14:30:00,0.01
ON02GE1000,TDP,2012-10-16 14:45:00,0.018
ON02GE1000,TDP,2012-10-23 16:15:00,0.04
ON02GE1000,TDP,2012-11-05 16:15:00,0.046
ON02GE1000,TDP,2012-11-19 17:40:00,0.032
ON02GC1700,SRP,2012-04-02 16:00:00,0
ON02GC1700,SRP,2012-04-10 16:00:00,0.007
ON02GD9041,SRP,2016-06-16 16:00:00,0.151
ON02GD9041,SRP,2016-07-04 19:09:00,0.036
ON02GD9041,SRP,2016-07-11 16:31:00,0.098
ON02GD9041,SRP,2016-07-25 17:16:00,0.082
ON02GD9041,SRP,2016-08-08 17:20:00,0.067
ON02GD9041,SRP,2016-08-17 17:24:00,0.179
ON02GD9041,SRP,2016-08-22 17:45:00,0.114
ON02GD9041,SRP,2016-08-29 16:00:00,0.088
